Event Name,Event Date,Fighter 1,Fighter 1 Nickname,Fighter 2,Fighter 2 Nickname,Weight Class,Card Position
"UFC Fight Night: Ulberg vs. Reyes",2025-09-27,"Carlos Ulberg","Black Jag","Dominick Reyes","The Devastator","unknown","main"
"UFC Fight Night: Ulberg vs. Reyes",2025-09-27,"Jimmy Crute","Brute","Ivan Erslan","","unknown","main"
"UFC Fight Night: Ulberg vs. Reyes",2025-09-27,"Jack Jenkins","Phar","Ramon Taveras","The Savage","unknown","preliminary"
"UFC Fight Night: Ulberg vs. Reyes",2025-09-27,"Jake Matthews","The Celtic Kid","Neil Magny","Haitian Sensation","unknown","preliminary"
"UFC Fight Night: Ulberg vs. Reyes",2025-09-27,"Louie Sutherland","The Vanilla Gorilla","Justin Tafa","Bad Man","unknown","preliminary"
"UFC 320: Ankalaev vs. Pereira 2",2025-10-04,"Magomed Ankalaev","","Alex Pereira","Poatan","unknown","main"
"UFC 320: Ankalaev vs. Pereira 2",2025-10-04,"Merab Dvalishvili","The Machine","Cory Sandhagen","Sandman","unknown","main"
"UFC 320: Ankalaev vs. Pereira 2",2025-10-04,"Joe Pyfer","Bodybagz","Abus Magomedov","","unknown","main"
"UFC 320: Ankalaev vs. Pereira 2",2025-10-04,"Jiri Prochazka","BJP","Khalil Rountree Jr","The War Horse","unknown","main"
"UFC Fight Night: Oliveira vs. Gamrot",2025-10-11,"Charles Oliveira","Do Bronxs","Mateusz Gamrot","Gamer","unknown","main"
"UFC Fight Night: Oliveira vs. Gamrot",2025-10-11,"Deiveson Figueiredo","Deus Da Guerra","Montel Jackson","Quik","unknown","main"
"UFC Fight Night: Oliveira vs. Gamrot",2025-10-11,"Vicente Luque","The Silent Assassin","Santiago Ponzinibbio","Argentine Dagger","unknown","preliminary"
"UFC Fight Night: Oliveira vs. Gamrot",2025-10-11,"Gabriel Bonfim","Marretinha","Randy Brown","Rudeboy","unknown","preliminary"
"UFC 322: Della Maddalena vs. Makhachev",2025-11-15,"Jack Della Maddalena","","Islam Makhachev","","unknown","main"
"UFC 322: Della Maddalena vs. Makhachev",2025-11-15,"Valentina Shevchenko","Bullet","Zhang Weili","Magnum","unknown","main"
"UFC 322: Della Maddalena vs. Makhachev",2025-11-15,"Erin Blanchfield","Cold Blooded","Tracy Cortez","","unknown","main"
"UFC 322: Della Maddalena vs. Makhachev",2025-11-15,"Leon Edwards","Rocky","Carlos Prates","The Nightmare","unknown","main"
"UFC 323",2025-12-06,"Maycee Barber","The Future","Karine Silva","Killer","unknown","main"
"UFC 323",2025-12-06,"Mansur Malik","Abdul","Antonio Trocoli","Malvado","unknown","preliminary"
"UFC Fight Night: Royval vs. Kape",2025-12-13,"Brandon Royval","Raw Dawg","Manel Kape","Starboy","unknown","main"
"UFC Fight Night: Royval vs. Kape",2025-12-13,"Iasmin Lucindo","","Gillian Robertson","The Savage","unknown","preliminary"
"UFC Fight Night: Royval vs. Kape",2025-12-13,"Tereza Bleda","","Jamey Lyn Horth","","unknown","preliminary"
"UFC Fight Night: Royval vs. Kape",2025-12-13,"Cesar Almeida","Cesinha","Cezary Oleksiejczuk","","unknown","preliminary"