event_name,fighter_name,bonus_type,opponent_name
UFC Fight Night: Muniz vs. Allen,Jordan Leavitt,POTN,
UFC Fight Night: Muniz vs. Allen,Joe Solecki,POTN,
UFC Fight Night: Namajunas vs. VanZant,Jim Miller,FOTN,Michael Chiesa
UFC Fight Night: Namajunas vs. VanZant,Michael Chiesa,FOTN,Jim Miller
UFC Fight Night: Namajunas vs. VanZant,Rose Namajunas,POTN,
UFC Fight Night: Namajunas vs. VanZant,Tim Means,POTN,
UFC Fight Night: Nelson vs. Ponzinibbio,Danny Henry,FOTN,Daniel Teymur
UFC Fight Night: Nelson vs. Ponzinibbio,Daniel Teymur,FOTN,Danny Henry
UFC Fight Night: Nelson vs. Ponzinibbio,Santiago Ponzinibbio,POTN,
UFC Fight Night: Nelson vs. Ponzinibbio,Paul Felder,POTN,
UFC Fight Night: Oliveira vs. Gamrot,Charles Oliveira,POTN,
UFC Fight Night: Oliveira vs. Gamrot,Vitor Petrino,POTN,
UFC Fight Night: Oliveira vs. Gamrot,Beatriz Mesquita,POTN,
UFC Fight Night: Oliveira vs. Gamrot,Julia Polastri,POTN,
UFC Fight Night: Ortega vs. The Korean Zombie,Guram Kutateladze,FOTN,Mateusz Gamrot
UFC Fight Night: Ortega vs. The Korean Zombie,Mateusz Gamrot,FOTN,Guram Kutateladze
UFC Fight Night: Ortega vs. The Korean Zombie,Jéssica Andrade,POTN,
UFC Fight Night: Ortega vs. The Korean Zombie,Jimmy Crute,POTN,
UFC Fight Night: Overeem vs. Oleinik,Islam Makhachev,FOTN,Arman Tsarukyan
UFC Fight Night: Overeem vs. Oleinik,Arman Tsarukyan,FOTN,Islam Makhachev
UFC Fight Night: Overeem vs. Oleinik,Sergei Pavlovich,POTN,
UFC Fight Night: Overeem vs. Oleinik,Magomed Mustafaev,POTN,
UFC Fight Night: Overeem vs. Sakai,Ovince Saint Preux,POTN,
UFC Fight Night: Overeem vs. Sakai,Michel Pereira,POTN,
UFC Fight Night: Overeem vs. Sakai,André Muniz,POTN,
UFC Fight Night: Overeem vs. Sakai,Brian Kelleher,POTN,
UFC Fight Night: Overeem vs. Volkov,Beneil Dariush,FOTN,Carlos Diego Ferreira
UFC Fight Night: Overeem vs. Volkov,Carlos Diego Ferreira,FOTN,Beneil Dariush
UFC Fight Night: Overeem vs. Volkov,Alexander Volkov,POTN,
UFC Fight Night: Overeem vs. Volkov,Cory Sandhagen,POTN,
UFC Fight Night: Pavlovich vs. Blaydes,Sergei Pavlovich,POTN,
UFC Fight Night: Pavlovich vs. Blaydes,Bruno Silva,POTN,
UFC Fight Night: Pavlovich vs. Blaydes,Christos Giagos,POTN,
UFC Fight Night: Pavlovich vs. Blaydes,Montel Jackson,POTN,
UFC Fight Night: Perez vs. Taira,Gabriella Fernandes,FOTN,Carli Judice
UFC Fight Night: Perez vs. Taira,Carli Judice,FOTN,Gabriella Fernandes
UFC Fight Night: Perez vs. Taira,Tatsuro Taira,POTN,
UFC Fight Night: Perez vs. Taira,Brady Hiestand,POTN,
UFC Fight Night: Pettis vs. Moreno,Niko Price,POTN,
UFC Fight Night: Pettis vs. Moreno,Humberto Bandenay,POTN,
UFC Fight Night: Pettis vs. Moreno,Dustin Ortiz,POTN,
UFC Fight Night: Pettis vs. Moreno,Joseph Morales,POTN,
UFC Fight Night: Poirier vs. Johnson,Evan Dunham,FOTN,Rick Glenn
UFC Fight Night: Poirier vs. Johnson,Rick Glenn,FOTN,Evan Dunham
UFC Fight Night: Poirier vs. Johnson,Michael Johnson,POTN,
UFC Fight Night: Poirier vs. Johnson,Chas Skelly,POTN,
UFC Fight Night: Poirier vs. Pettis,Dustin Poirier,FOTN,Anthony Pettis
UFC Fight Night: Poirier vs. Pettis,Anthony Pettis,FOTN,Dustin Poirier
UFC Fight Night: Poirier vs. Pettis,Matt Brown,POTN,
UFC Fight Night: Poirier vs. Pettis,Raphael Assunção,POTN,
UFC Fight Night: Reyes vs. Prochazka,Jiří Procházka,POTN,
UFC Fight Night: Reyes vs. Prochazka,Giga Chikadze,POTN,
UFC Fight Night: Ribas vs. Namajunas,Jarno Errens,FOTN,Steven Nguyen
UFC Fight Night: Ribas vs. Namajunas,Steven Nguyen,FOTN,Jarno Errens
UFC Fight Night: Ribas vs. Namajunas,Payton Talbott,POTN,
UFC Fight Night: Ribas vs. Namajunas,Fernando Padilla,POTN,
UFC Fight Night: Rivera vs. Moraes,Marlon Moraes,POTN,
UFC Fight Night: Rivera vs. Moraes,Gregor Gillespie,POTN,
UFC Fight Night: Rivera vs. Moraes,Ben Saunders,POTN,
UFC Fight Night: Rivera vs. Moraes,Nathaniel Wood,POTN,
UFC Fight Night: Rockhold vs. Branch,Gregor Gillespie,FOTN,Jason Gonzalez
UFC Fight Night: Rockhold vs. Branch,Jason Gonzalez,FOTN,Gregor Gillespie
UFC Fight Night: Rockhold vs. Branch,Mike Perry,POTN,
UFC Fight Night: Rockhold vs. Branch,Uriah Hall,POTN,
UFC Fight Night: Rodriguez vs. Lemos,Neil Magny,POTN,
UFC Fight Night: Rodriguez vs. Lemos,Mario Bautista,POTN,
UFC Fight Night: Rodriguez vs. Lemos,Polyana Viana,POTN,
UFC Fight Night: Rodriguez vs. Lemos,Tamires Vidal,POTN,
UFC Fight Night: Rodriguez vs. Stephens,Carla Esparza,FOTN,Alexa Grasso
UFC Fight Night: Rodriguez vs. Stephens,Alexa Grasso,FOTN,Carla Esparza
UFC Fight Night: Rodriguez vs. Stephens,Steven Peterson,POTN,
UFC Fight Night: Rodriguez vs. Stephens,Paul Craig,POTN,
UFC Fight Night: Royval vs. Taira,Brandon Royval,FOTN,Tatsuro Taira
UFC Fight Night: Royval vs. Taira,Tatsuro Taira,FOTN,Brandon Royval
UFC Fight Night: Royval vs. Taira,Ramazan Temirov,POTN,
UFC Fight Night: Royval vs. Taira,Clayton Carpenter,POTN,
UFC Fight Night: Rozenstruik vs. Gane,Pedro Munhoz,FOTN,Jimmie Rivera
UFC Fight Night: Rozenstruik vs. Gane,Jimmie Rivera,FOTN,Pedro Munhoz
UFC Fight Night: Rozenstruik vs. Gane,Ronnie Lawrence,POTN,
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira,FOTN,Bernardo Sopaj
UFC Fight Night: Rozenstruik vs. Gaziev,Bernardo Sopaj,FOTN,Vinicius Oliveira
UFC Fight Night: Rozenstruik vs. Gaziev,Steve Erceg,POTN,
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira,POTN,
UFC Fight Night: Rozenstruik vs. Sakai,Santiago Ponzinibbio,FOTN,Miguel Baeza
UFC Fight Night: Rozenstruik vs. Sakai,Miguel Baeza,FOTN,Santiago Ponzinibbio
UFC Fight Night: Rozenstruik vs. Sakai,Jairzinho Rozenstruik,POTN,
UFC Fight Night: Rozenstruik vs. Sakai,Marcin Tybura,POTN,
UFC Fight Night: Saint Preux vs. Okami,Jéssica Andrade,FOTN,Cláudia Gadelha
UFC Fight Night: Saint Preux vs. Okami,Cláudia Gadelha,FOTN,Jéssica Andrade
UFC Fight Night: Saint Preux vs. Okami,Ovince Saint Preux,POTN,
UFC Fight Night: Saint Preux vs. Okami,Gökhan Saki,POTN,
UFC Fight Night: Sanchez vs Riggs,Karo Parisyan,FOTN,Drew Fickett
UFC Fight Night: Sanchez vs Riggs,Drew Fickett,FOTN,Karo Parisyan
UFC Fight Night: Sanchez vs Riggs,Alan Belcher,KOTN,
UFC Fight Night: Sandhagen vs. Dillashaw,Raulian Paiva,FOTN,Kyler Phillips
UFC Fight Night: Sandhagen vs. Dillashaw,Kyler Phillips,FOTN,Raulian Paiva
UFC Fight Night: Sandhagen vs. Dillashaw,Darren Elkins,POTN,
UFC Fight Night: Sandhagen vs. Dillashaw,Adrian Yañez,POTN,
UFC Fight Night: Sandhagen vs. Figueiredo,Cory Sandhagen,POTN,
UFC Fight Night: Sandhagen vs. Figueiredo,Reinier de Ridder,POTN,
UFC Fight Night: Sandhagen vs. Figueiredo,Azamat Bekoev,POTN,
UFC Fight Night: Sandhagen vs. Figueiredo,Quang Le,POTN,
UFC Fight Night: Sandhagen vs. Nurmagomedov,Joel Álvarez,POTN,
UFC Fight Night: Sandhagen vs. Nurmagomedov,Azamat Murzakanov,POTN,
UFC Fight Night: Sandhagen vs. Song,Gregory Rodrigues,FOTN,Chidi Njokuani
UFC Fight Night: Sandhagen vs. Song,Chidi Njokuani,FOTN,Gregory Rodrigues
UFC Fight Night: Sandhagen vs. Song,Joe Pyfer,POTN,
UFC Fight Night: Sandhagen vs. Song,Damon Jackson,POTN,
UFC Fight Night: Santos vs. Ankalaev,Song Yadong,POTN,
UFC Fight Night: Santos vs. Ankalaev,Khalil Rountree Jr,POTN,
UFC Fight Night: Santos vs. Ankalaev,Cody Brundage,POTN,
UFC Fight Night: Santos vs. Ankalaev,Azamat Murzakanov,POTN,
UFC Fight Night: Santos vs. Hill,Jamahal Hill,FOTN,Thiago Santos
UFC Fight Night: Santos vs. Hill,Thiago Santos,FOTN,Jamahal Hill
UFC Fight Night: Santos vs. Hill,Geoff Neal,POTN,
UFC Fight Night: Santos vs. Hill,Mohammed Usman,POTN,
UFC Fight Night: Santos vs. Hill,Bryan Battle,POTN,
UFC Fight Night: Santos vs. Teixeira,Raoni Barcelos,FOTN,Khalid Taha
UFC Fight Night: Santos vs. Teixeira,Khalid Taha,FOTN,Raoni Barcelos
UFC Fight Night: Santos vs. Teixeira,Giga Chikadze,POTN,
UFC Fight Night: Santos vs. Teixeira,Alexandr Romanov,POTN,
UFC Fight Night: Santos vs. Walker,Casey O'Neill,POTN,
UFC Fight Night: Santos vs. Walker,Jamie Mullarkey,POTN,
UFC Fight Night: Santos vs. Walker,Douglas Silva de Andrade,POTN,
UFC Fight Night: Santos vs. Walker,Alejandro Pérez,POTN,
UFC Fight Night: Shevchenko vs. Carmouche 2,Vicente Luque,FOTN,Mike Perry
UFC Fight Night: Shevchenko vs. Carmouche 2,Mike Perry,FOTN,Vicente Luque
UFC Fight Night: Shevchenko vs. Carmouche 2,Volkan Oezdemir,POTN,
UFC Fight Night: Shevchenko vs. Carmouche 2,Veronica Macedo,POTN,
UFC Fight Night: Shogun vs. Smith,Danny Roberts,FOTN,David Zawada
UFC Fight Night: Shogun vs. Smith,David Zawada,FOTN,Danny Roberts
UFC Fight Night: Shogun vs. Smith,Anthony Smith,POTN,
UFC Fight Night: Shogun vs. Smith,Manny Bermudez,POTN,
UFC Fight Night: Smith vs. Spann,Anthony Smith,POTN,
UFC Fight Night: Smith vs. Spann,Arman Tsarukyan,POTN,
UFC Fight Night: Smith vs. Spann,Nate Maness,POTN,
UFC Fight Night: Smith vs. Spann,Joaquin Buckley,POTN,
UFC Fight Night: Smith vs. Teixeira,Brian Kelleher,FOTN,Hunter Azure
UFC Fight Night: Smith vs. Teixeira,Hunter Azure,FOTN,Brian Kelleher
UFC Fight Night: Smith vs. Teixeira,Glover Teixeira,POTN,
UFC Fight Night: Smith vs. Teixeira,Drew Dober,POTN,
UFC Fight Night: Stephens vs. Choi,Jeremy Stephens,FOTN,Doo Ho Choi
UFC Fight Night: Stephens vs. Choi,Doo Ho Choi,FOTN,Jeremy Stephens
UFC Fight Night: Stephens vs. Choi,Darren Elkins,POTN,
UFC Fight Night: Stephens vs. Choi,Polo Reyes,POTN,
UFC Fight Night: Stevenson vs Guillard,Kenny Florian,FOTN,Dokonjonosuke Mishima
UFC Fight Night: Stevenson vs Guillard,Dokonjonosuke Mishima,FOTN,Kenny Florian
UFC Fight Night: Stevenson vs Guillard,Joe Stevenson,SOTN,
UFC Fight Night: Stevenson vs Guillard,Kurt Pellegrino,SOTN,
UFC Fight Night: Stout vs Fisher,Spencer Fisher,FOTN,Sam Stout
UFC Fight Night: Stout vs Fisher,Sam Stout,FOTN,Spencer Fisher
UFC Fight Night: Stout vs Fisher,Drew McFedries,KOTN,
UFC Fight Night: Stout vs Fisher,Thiago Tavares,SOTN,
UFC Fight Night: Strickland vs. Imavov,Dan Ige,POTN,
UFC Fight Night: Strickland vs. Imavov,Roman Kopylov,POTN,
UFC Fight Night: Strickland vs. Imavov,Umar Nurmagomedov,POTN,
UFC Fight Night: Strickland vs. Imavov,Allan Nascimento,POTN,
UFC Fight Night: Swanson vs. Lobov,Cub Swanson,FOTN,Artem Lobov
UFC Fight Night: Swanson vs. Lobov,Artem Lobov,FOTN,Cub Swanson
UFC Fight Night: Swanson vs. Lobov,Mike Perry,POTN,
UFC Fight Night: Swanson vs. Lobov,Brandon Moreno,POTN,
UFC Fight Night: Swanson vs. Ortega,Brian Ortega,FOTN,Cub Swanson
UFC Fight Night: Swanson vs. Ortega,Cub Swanson,FOTN,Brian Ortega
UFC Fight Night: Swanson vs. Ortega,Brian Ortega,POTN,
UFC Fight Night: Swanson vs. Ortega,Marlon Moraes,POTN,
UFC Fight Night: Swick vs Burkman,Gray Maynard,FOTN,Dennis Siver
UFC Fight Night: Swick vs Burkman,Dennis Siver,FOTN,Gray Maynard
UFC Fight Night: Swick vs Burkman,Patrick Côté,KOTN,
UFC Fight Night: Swick vs Burkman,Nate Diaz,SOTN,
UFC Fight Night: Thomas vs Florian,Cole Miller,FOTN,Leonard Garcia
UFC Fight Night: Thomas vs Florian,Leonard Garcia,FOTN,Cole Miller
UFC Fight Night: Thomas vs Florian,Chris Leben,KOTN,
UFC Fight Night: Thomas vs Florian,Dustin Hazelett,SOTN,
UFC Fight Night: Thompson vs. Neal,Stephen Thompson,POTN,
UFC Fight Night: Thompson vs. Neal,Rob Font,POTN,
UFC Fight Night: Thompson vs. Neal,Marcin Tybura,POTN,
UFC Fight Night: Thompson vs. Neal,Jimmy Flick,POTN,
UFC Fight Night: Thompson vs. Pettis,Bryce Mitchell,FOTN,Bobby Moffett
UFC Fight Night: Thompson vs. Pettis,Bobby Moffett,FOTN,Bryce Mitchell
UFC Fight Night: Thompson vs. Pettis,Anthony Pettis,POTN,
UFC Fight Night: Thompson vs. Pettis,Randa Markos,POTN,
UFC Fight Night: Thompson vs. Till,Arnold Allen,POTN,
UFC Fight Night: Thompson vs. Till,Cláudio Silva,POTN,
UFC Fight Night: Thompson vs. Till,Darren Stewart,POTN,
UFC Fight Night: Thompson vs. Till,Tom Breese,POTN,
UFC Fight Night: Till vs. Masvidal,Jorge Masvidal,FOTN,Darren Till
UFC Fight Night: Till vs. Masvidal,Darren Till,FOTN,Jorge Masvidal
UFC Fight Night: Till vs. Masvidal,Jorge Masvidal,POTN,
UFC Fight Night: Till vs. Masvidal,Dan Ige,POTN,
UFC Fight Night: Tsarukyan vs. Gamrot,Mateusz Gamrot,FOTN,Arman Tsarukyan
UFC Fight Night: Tsarukyan vs. Gamrot,Arman Tsarukyan,FOTN,Mateusz Gamrot
UFC Fight Night: Tsarukyan vs. Gamrot,Shavkat Rakhmonov,POTN,
UFC Fight Night: Tsarukyan vs. Gamrot,Josh Parisian,POTN,
UFC Fight Night: Tsarukyan vs. Gamrot,Thiago Moisés,POTN,
UFC Fight Night: Tsarukyan vs. Hooker,Arman Tsarukyan,POTN,
UFC Fight Night: Tsarukyan vs. Hooker,Waldo Cortes-Acosta,POTN,
UFC Fight Night: Tsarukyan vs. Hooker,Kyoji Horiguchi,POTN,
UFC Fight Night: Tsarukyan vs. Hooker,Luke Riley,POTN,
UFC Fight Night: Tuivasa vs. Tybura,Marcin Tybura,POTN,
UFC Fight Night: Tuivasa vs. Tybura,Macy Chiasson,POTN,
UFC Fight Night: Tuivasa vs. Tybura,Jafel Filho,POTN,
UFC Fight Night: Tuivasa vs. Tybura,Jaqueline Amorim,POTN,
UFC Fight Night: Tybura vs. Spivac 2,Serghei Spivac,POTN,
UFC Fight Night: Tybura vs. Spivac 2,Toshiomi Kazama,POTN,
UFC Fight Night: Tybura vs. Spivac 2,Youssef Zalal,POTN,
UFC Fight Night: Ulberg vs. Reyes,Carlos Ulberg,POTN,
UFC Fight Night: Ulberg vs. Reyes,Jimmy Crute,POTN,
UFC Fight Night: Ulberg vs. Reyes,Tom Nolan,POTN,
UFC Fight Night: Ulberg vs. Reyes,Brando Peričić,POTN,
UFC Fight Night: Vera vs. Sandhagen,Nazim Sadykhov,FOTN,Evan Elder
UFC Fight Night: Vera vs. Sandhagen,Evan Elder,FOTN,Nazim Sadykhov
UFC Fight Night: Vera vs. Sandhagen,Erin Blanchfield,POTN,
UFC Fight Night: Vera vs. Sandhagen,Mayra Bueno Silva,POTN,
UFC Fight Night: Vettori vs. Dolidze 2,Carlos Vera,POTN,
UFC Fight Night: Vettori vs. Dolidze 2,André Lima,POTN,
UFC Fight Night: Vettori vs. Dolidze 2,Priscila Cachoeira,POTN,
UFC Fight Night: Vettori vs. Dolidze 2,Carli Judice,POTN,
UFC Fight Night: Vieira vs. Tate,Adrian Yañez,FOTN,Davey Grant
UFC Fight Night: Vieira vs. Tate,Davey Grant,FOTN,Adrian Yañez
UFC Fight Night: Vieira vs. Tate,Taila Santos,POTN,
UFC Fight Night: Volkov vs. Aspinall,Tom Aspinall,POTN,
UFC Fight Night: Volkov vs. Aspinall,Arnold Allen,POTN,
UFC Fight Night: Volkov vs. Aspinall,Paddy Pimblett,POTN,
UFC Fight Night: Volkov vs. Aspinall,Molly McCann,POTN,
UFC Fight Night: Volkov vs. Aspinall,Ilia Topuria,POTN,
UFC Fight Night: Volkov vs. Aspinall,Makwan Amirkhani,POTN,
UFC Fight Night: Volkov vs. Aspinall,Sergei Pavlovich,POTN,
UFC Fight Night: Volkov vs. Aspinall,Paul Craig,POTN,
UFC Fight Night: Volkov vs. Aspinall,Muhammad Mokaev,POTN,
UFC Fight Night: Volkov vs. Struve,Alexander Volkov,FOTN,Stefan Struve
UFC Fight Night: Volkov vs. Struve,Stefan Struve,FOTN,Alexander Volkov
UFC Fight Night: Volkov vs. Struve,Mairbek Taisumov,POTN,
UFC Fight Night: Volkov vs. Struve,Zabit Magomedsharipov,POTN,
UFC Fight Night: Walker vs. Hill,Jamahal Hill,POTN,
UFC Fight Night: Walker vs. Hill,Kyle Daukaus,POTN,
UFC Fight Night: Walker vs. Hill,David Onama,POTN,
UFC Fight Night: Walker vs. Hill,Stephanie Egger,POTN,
UFC Fight Night: Walker vs. Zhang,Johnny Walker,POTN,
UFC Fight Night: Walker vs. Zhang,Charles Johnson,POTN,
UFC Fight Night: Walker vs. Zhang,Kyle Daukaus,POTN,
UFC Fight Night: Walker vs. Zhang,Uran Satybaldiev,POTN,
UFC Fight Night: Waterson vs. Hill,Michelle Waterson,FOTN,Angela Hill
UFC Fight Night: Waterson vs. Hill,Angela Hill,FOTN,Michelle Waterson
UFC Fight Night: Waterson vs. Hill,Ottman Azaitar,POTN,
UFC Fight Night: Waterson vs. Hill,Kevin Croom,POTN,
UFC Fight Night: Werdum vs. Tybura,Frank Camacho,FOTN,Damien Brown
UFC Fight Night: Werdum vs. Tybura,Damien Brown,FOTN,Frank Camacho
UFC Fight Night: Werdum vs. Tybura,Nik Lentz,POTN,
UFC Fight Night: Werdum vs. Tybura,Tai Tuivasa,POTN,
UFC Fight Night: Werdum vs. Volkov,Alexander Volkov,POTN,
UFC Fight Night: Werdum vs. Volkov,Paul Craig,POTN,
UFC Fight Night: Whittaker vs. Brunson,Robert Whittaker,FOTN,Derek Brunson
UFC Fight Night: Whittaker vs. Brunson,Derek Brunson,FOTN,Robert Whittaker
UFC Fight Night: Whittaker vs. Brunson,Robert Whittaker,POTN,
UFC Fight Night: Whittaker vs. Brunson,Tyson Pedro,POTN,
UFC Fight Night: Whittaker vs. Gastelum,Robert Whittaker,FOTN,Kelvin Gastelum
UFC Fight Night: Whittaker vs. Gastelum,Kelvin Gastelum,FOTN,Robert Whittaker
UFC Fight Night: Whittaker vs. Gastelum,Gerald Meerschaert,POTN,
UFC Fight Night: Whittaker vs. Gastelum,Tony Gravely,POTN,
UFC Fight Night: Whittaker vs. Till,Fabrício Werdum,POTN,
UFC Fight Night: Whittaker vs. Till,Paul Craig,POTN,
UFC Fight Night: Whittaker vs. Till,Khamzat Chimaev,POTN,
UFC Fight Night: Whittaker vs. Till,Jesse Ronson,POTN,
UFC Fight Night: Whittaker vs. Till,Tom Aspinall,POTN,
UFC Fight Night: Whittaker vs. Till,Tanner Boser,POTN,
UFC Fight Night: Woodley vs. Burns,Brandon Royval,FOTN,Tim Elliott
UFC Fight Night: Woodley vs. Burns,Tim Elliott,FOTN,Brandon Royval
UFC Fight Night: Woodley vs. Burns,Gilbert Burns,POTN,
UFC Fight Night: Woodley vs. Burns,Mackenzie Dern,POTN,
UFC Fight Night: Yan vs. Dvalishvili,Vitor Petrino,FOTN,Anton Turkalj
UFC Fight Night: Yan vs. Dvalishvili,Anton Turkalj,FOTN,Vitor Petrino
UFC Fight Night: Yan vs. Dvalishvili,Davey Grant,POTN,
UFC Fight Night: Yan vs. Dvalishvili,Bruno Gustavo da Silva,POTN,
UFC Fight Night: Yan vs. Figueiredo,Muslim Salikhov,POTN,
UFC Fight Night: Yan vs. Figueiredo,Gabriella Fernandes,POTN,
UFC Fight Night: Yan vs. Figueiredo,Zhang Mingyang,POTN,
UFC Fight Night: Yan vs. Figueiredo,Shi Ming,POTN,
UFC Fight Night: Yusuff vs. Barboza,Edson Barboza,FOTN,Sodiq Yusuff
UFC Fight Night: Yusuff vs. Barboza,Sodiq Yusuff,FOTN,Edson Barboza
UFC Fight Night: Yusuff vs. Barboza,Jonathan Martinez,POTN,
UFC Fight Night: Yusuff vs. Barboza,Michel Pereira,POTN,
UFC Fight Night: Zabit vs. Kattar,Zabit Magomedsharipov,FOTN,Calvin Kattar
UFC Fight Night: Zabit vs. Kattar,Calvin Kattar,FOTN,Zabit Magomedsharipov
UFC Fight Night: Zabit vs. Kattar,Magomed Ankalaev,POTN,
UFC Fight Night: Zabit vs. Kattar,David Zawada,POTN,
UFC on FX: Belfort vs. Rockhold,Lucas Martins,FOTN,Jeremy Larsen
UFC on FX: Belfort vs. Rockhold,Jeremy Larsen,FOTN,Lucas Martins
UFC on FX: Belfort vs. Rockhold,Vitor Belfort,KOTN,
UFC on FX: Belfort vs. Rockhold,Ronaldo Souza,SOTN,
UFC: Silva vs Irvin,Frankie Edgar,FOTN,Hermes França
UFC: Silva vs Irvin,Hermes França,FOTN,Frankie Edgar
UFC: Silva vs Irvin,Rory Markham,KOTN,
